tag,description
<!DOCTYPE>,"Es una declaración obligatoria al inicio de un documento HTML5 que le indica al navegador qué versión de HTML estás utilizando, asegurando que el contenido se renderice correctamente."
<html>,"Es la etiqueta raíz que envuelve todo el contenido HTML de una página web, sirviendo como contenedor principal para todos los demás elementos."
<head>,"Es la sección donde se colocan los metadatos del documento, como el título, enlaces a hojas de estilo, scripts y otras informaciones que no se muestran directamente en la página pero son esenciales para su funcionamiento."
<title>,"Define el título de la página web, que aparece en la pestaña del navegador y en los resultados de los motores de búsqueda, ayudando a los usuarios y a los SEO a identificar el contenido."
<body>,"Contiene todo el contenido visible de la página web, como texto, imágenes, videos y otros elementos, y es donde los usuarios interactúan directamente."
<h1> a <h6>,"Son etiquetas utilizadas para definir encabezados, donde <h1> es el más importante (título principal) y <h6> el menos importante, ayudando a estructurar y jerarquizar el contenido."
<p>,"Se utiliza para definir párrafos de texto, organizando el contenido en bloques legibles y separados visualmente."
<a>,"Crea enlaces o hipervínculos que permiten a los usuarios navegar entre páginas web o a secciones específicas dentro de una página."
<img>,"Inserta imágenes en la página web, permitiendo mostrar contenido visual como fotos, gráficos o ilustraciones."
<ul>,"Define una lista desordenada, donde los elementos se muestran con viñetas, ideal para enumerar elementos sin un orden específico."
<ol>,"Define una lista ordenada, donde los elementos se numeran automáticamente, útil para secuencias o pasos que deben seguir un orden."
<li>,"Representa un elemento individual dentro de una lista, ya sea ordenada (<ol>) o desordenada (<ul>)."
<div>,"Es un contenedor genérico que se utiliza para agrupar otros elementos y aplicar estilos o manipulaciones mediante CSS o JavaScript."
<span>,"Es un contenedor en línea que se usa para aplicar estilos o scripts a una parte específica de un texto o elemento sin afectar su estructura."
<header>,"Define la cabecera de una página o sección, generalmente conteniendo el logotipo, menú de navegación y otros elementos introductorios."
<footer>,"Representa el pie de página de una página o sección, donde se suelen incluir enlaces de contacto, información legal o créditos."
<nav>,"Se utiliza para definir una sección de navegación, como menús o enlaces que permiten a los usuarios moverse por el sitio web."
<section>,"Agrupa contenido temáticamente relacionado, ayudando a estructurar el documento en partes lógicas y coherentes."
<article>,"Define contenido independiente y autónomo, como una noticia, blog post o comentario, que puede ser reutilizado o distribuido por separado."
<aside>,"Contiene información complementaria o relacionada indirectamente con el contenido principal, como barras laterales o notas adicionales."
<main>,"Representa el contenido principal de la página, excluyendo cabeceras, pies de página y barras laterales, para enfocarse en lo más importante."
<figure>,"Se utiliza para agrupar imágenes, gráficos o diagramas junto con su descripción, facilitando su referencia en el contenido."
<figcaption>,"Proporciona una leyenda o descripción para un elemento <figure>, explicando su contenido o contexto."
<video>,"Inserta videos en la página web, permitiendo reproducir contenido multimedia directamente en el navegador."
<audio>,"Inserta archivos de audio en la página, como música o podcasts, para ser reproducidos por el usuario."
<source>,"Especifica múltiples fuentes de medios (como formatos alternativos) para elementos <video> o <audio>, asegurando compatibilidad con diferentes navegadores."
<canvas>,"Proporciona un área para dibujar gráficos dinámicos, animaciones o visualizaciones mediante JavaScript."
<svg>,"Permite insertar gráficos vectoriales escalables, que mantienen su calidad sin importar el tamaño en el que se muestren."
<table>,"Crea una tabla para organizar datos en filas y columnas, ideal para presentar información estructurada."
<tr>,"Define una fila dentro de una tabla, conteniendo celdas (<td> o <th>) con los datos o encabezados."
<th>,"Representa una celda de encabezado en una tabla, resaltando el título de una columna o fila."
<td>,"Define una celda de datos en una tabla, donde se coloca la información específica."
<form>,"Crea un formulario para que los usuarios ingresen datos, como registros, búsquedas o comentarios."
<input>,"Define un campo de entrada en un formulario, permitiendo a los usuarios introducir texto, números, fechas u otros datos."
<button>,"Crea un botón en el que los usuarios pueden hacer clic para realizar acciones, como enviar un formulario o ejecutar un script."
<label>,"Asocia una etiqueta descriptiva con un elemento <input>, mejorando la accesibilidad y la experiencia del usuario."
<select>,"Crea una lista desplegable en un formulario, permitiendo a los usuarios elegir una opción entre varias."
<option>,"Define una opción individual dentro de una lista desplegable (<select>)."
<textarea>,"Proporciona un área de texto multilínea en un formulario, ideal para comentarios o descripciones largas."
<fieldset>,"Agrupa elementos relacionados en un formulario, organizándolos visualmente y mejorando su usabilidad."
<legend>,"Proporciona un título descriptivo para un elemento <fieldset>, explicando su propósito o contenido."
<iframe>,"Inserta un marco en línea que muestra otro documento HTML dentro de la página, útil para incrustar contenido externo."
<meta>,"Define metadatos sobre el documento, como la descripción, autor o palabras clave, que son útiles para los motores de búsqueda y el SEO."
<link>,"Establece una relación entre el documento y un recurso externo, como una hoja de estilo CSS, para aplicar estilos o fuentes."
<style>,"Permite incluir estilos CSS directamente en el documento HTML, aplicando diseños y formatos específicos."
<script>,"Inserta código JavaScript en el documento, permitiendo agregar interactividad y funcionalidades dinámicas."
<noscript>,"Proporciona contenido alternativo para usuarios que tienen JavaScript deshabilitado en sus navegadores."
<template>,"Define plantillas de contenido que no se renderizan al cargar la página, pero pueden ser clonadas y utilizadas dinámicamente con JavaScript."
<slot>,"Es un marcador de posición dentro de una plantilla de web component, permitiendo la inserción de contenido personalizado."
<details>,"Crea una sección desplegable que los usuarios pueden expandir o contraer para ver más información."
<summary>,"Proporciona un resumen o título para un elemento <details>, indicando qué contiene la sección desplegable."
<mark>,"Resalta texto con un fondo amarillo, útil para enfatizar información importante o relevante en el contenido."
<time>,"Define una fecha o hora específica, permitiendo a los navegadores y motores de búsqueda entender su significado semántico."
<progress>,"Muestra el progreso de una tarea, como una barra de carga, para indicar cuánto se ha completado."
<meter>,"Representa una medida escalar dentro de un rango conocido, como el uso de almacenamiento o una calificación."
<datalist>,"Proporciona una lista de opciones predefinidas para un campo <input>, ayudando a los usuarios a seleccionar valores comunes."
<output>,"Muestra el resultado de un cálculo o acción realizada por el usuario, como la suma de dos números en un formulario."
<embed>,"Inserta contenido externo, como un plugin o aplicación, directamente en la página web."
<object>,"Define un objeto incrustado en el documento, como un archivo PDF o un applet de Java."
<param>,"Especifica parámetros para un elemento <object>, configurando su comportamiento o apariencia."
<track>,"Añade pistas de texto, como subtítulos o descripciones, a elementos <video> o <audio> para mejorar la accesibilidad."
<wbr>,"Indica un punto en el texto donde el navegador puede insertar un salto de línea si es necesario, útil para palabras largas o URLs."